,label,auc,samples
1AVB,1AVB,0.5,558
2AVB,2AVB,0.5,10
3AVB,3AVB,0.5,12
ALMI,ALMI,0.5,203
AMI,AMI,0.5,248
ANEUR,ANEUR,0.5,73
ASMI,ASMI,0.5,1655
CLBBB,CLBBB,0.5,375
CRBBB,CRBBB,0.5,379
DIG,DIG,0.5,127
EL,EL,0.5,68
ILBBB,ILBBB,0.5,54
ILMI,ILMI,0.5,336
IMI,IMI,0.5,1880
INJAL,INJAL,0.5,104
INJAS,INJAS,0.5,150
INJIL,INJIL,0.5,10
INJIN,INJIN,0.5,12
INJLA,INJLA,0.5,12
IPLMI,IPLMI,0.5,36
IPMI,IPMI,0.5,23
IRBBB,IRBBB,0.5,782
ISCAL,ISCAL,0.5,462
ISCAN,ISCAN,0.5,31
ISCAS,ISCAS,0.5,119
ISCIL,ISCIL,0.5,126
ISCIN,ISCIN,0.5,154
ISCLA,ISCLA,0.5,99
ISC_,ISC_,0.5,892
IVCD,IVCD,0.5,552
LAFB,LAFB,0.5,1138
LAO/LAE,LAO/LAE,0.5,300
LMI,LMI,0.5,141
LNGQT,LNGQT,0.5,83
LPFB,LPFB,0.5,125
LVH,LVH,0.5,1496
NDT,NDT,0.5,1280
NORM,NORM,0.5,6656
NST_,NST_,0.5,539
PMI,PMI,0.5,12
RAO/RAE,RAO/RAE,0.5,69
RVH,RVH,0.5,88
SEHYP,SEHYP,0.5,21
WPW,WPW,0.5,56
