,support_1,support_2,support_3,support_4,support_5,support_6,support_7,support_8,support_9,support_10
1AVB,692,692,692,692,692,692,692,692,693,692
2AVB,20,20,20,21,21,21,21,21,21,21
CLBBB,208,208,208,208,208,208,208,207,208,208
CRBBB,25,25,25,25,26,26,25,25,25,25
ILBBB,77,77,77,78,77,78,78,77,78,77
IRBBB,366,366,367,366,367,366,366,366,367,366
ISCAN,253,253,252,253,253,253,253,253,253,253
ISCIN,406,406,406,406,406,405,406,406,406,406
ISCLA,813,812,813,813,813,812,813,812,813,813
IVCD,183,183,182,183,183,182,183,183,183,182
LAFB,162,162,162,162,162,162,162,162,162,162
LAO/LAE,783,783,783,783,783,783,783,783,783,783
LNGQT,1252,1253,1252,1248,1253,1252,1252,1252,1253,1252
LPFB,23,23,23,23,22,22,22,22,22,23
LVH,1095,1112,1112,1111,1108,1112,1111,1105,1110,1112
NDT,1711,1702,1690,1685,1702,1697,1702,1689,1680,1689
RVH,78,77,77,78,78,78,77,77,77,77
SEHYP,64,64,63,64,64,64,64,64,64,64
