label,auc_1,auc_2,auc_3,auc_4,auc_5,auc_6,auc_7,auc_8,auc_9,auc_10
1AVB,0.9564856218417132,0.9572489610209596,0.9556375718893376,0.9473730929096836,0.9537666169823439,0.944251591140761,0.9558257897989602,0.9553977169447777,0.9498921530368072,0.953904763635923
2AVB,0.7335170893054024,0.7958717287136012,0.7820486815415821,0.7755839700335199,0.7703240825828586,0.7535539215686274,0.679628219602489,0.723553968545698,0.7487793353283982,0.737075642607714
CLBBB,0.9811517232291882,0.9752300129233119,0.9787074792447283,0.9738148224063716,0.9687198032268454,0.9710531710817263,0.9738248879974232,0.9786033085582171,0.9728847983605357,0.9742247664782877
CRBBB,0.9393783336398749,0.916384430916805,0.8873163528977484,0.918638955306235,0.8958014943114281,0.8688415540301465,0.9361486113665625,0.8783961743608608,0.9115630746598014,0.9164244988044878
ILBBB,0.8841008573599104,0.8065953417043005,0.8784869621619529,0.8304139520707129,0.775152238661988,0.8293178429719392,0.8613651083933401,0.8419539606169133,0.8731352522438874,0.8264153673624426
IRBBB,0.93795358622642,0.9366905468783616,0.9382395758852364,0.9453525104871708,0.9272904728416222,0.934870788354596,0.9388784517590137,0.9376056223245918,0.9382221029262681,0.9364646867574268
ISCAN,0.9162015878568335,0.9100217760454367,0.8989780847804352,0.9009217096891439,0.9046466400126871,0.8855098267791116,0.888688398082674,0.87816010143587,0.8924961877811748,0.8462686578489494
ISCIN,0.7818272783251231,0.7884133825944171,0.7778962769104684,0.7934191245245371,0.8116859644883706,0.8415309032661353,0.7806634657354866,0.8053500303984535,0.8464699470372726,0.864834299198728
ISCLA,0.8264240719413002,0.8550008397983632,0.8403481227036891,0.8541013330116094,0.8461309908861618,0.8296603856753982,0.8443480154311115,0.8441667990889349,0.8367491965242232,0.8306011926542152
IVCD,0.7668160367348924,0.7826345172868847,0.807334083897475,0.7921954915703732,0.8079243771330263,0.7909215240149129,0.7767305655877448,0.7870695000398528,0.7536543715846994,0.7440684315684316
LAFB,0.9403389238294898,0.9342716423210997,0.9435981774869612,0.9289331469834615,0.9437095271372001,0.9531719238896694,0.94937106918239,0.9411705101327743,0.9591609782454277,0.9443180759375728
LAO/LAE,0.7091998514053035,0.8006391995462226,0.8025054949873656,0.7257084929074966,0.7957756416607777,0.7312920127746682,0.7463168631779666,0.7665602975387709,0.7594292715940225,0.7380097263471991
LNGQT,0.6437380950574093,0.6801650757951963,0.6890295498569504,0.6948321871235077,0.6775149477320006,0.7104923877557372,0.6966881493173867,0.6277706738102646,0.6729356432922032,0.6817168539837449
LPFB,0.7070753095597816,0.8225512911993201,0.7956120648163003,0.7716492002206288,0.7909592245989305,0.8121813836099551,0.8318599598930482,0.8472426470588236,0.7480910928806536,0.6503113583858926
LVH,0.9259707248113445,0.9344168412385918,0.9286829598893039,0.9199883904731545,0.9266487391153659,0.9206596323309253,0.9156768124525623,0.9340674028478643,0.9269924645527678,0.9244294219796578
NDT,0.7554329949963859,0.7660691889632105,0.7606931417390742,0.7610723660072798,0.7566276845763432,0.7659990406274247,0.7669015801185088,0.7658946580177594,0.7589317183389348,0.7661019518416118
RVH,0.8479576237284261,0.8880731858940092,0.9053855201823895,0.8804291919076467,0.8657108431439784,0.8638639210810861,0.8818748568052189,0.8619590251902229,0.8745111182912891,0.8942396507856117
SEHYP,0.8053995692849203,0.7517593366778149,0.838266359827698,0.780760814190441,0.8192704473879215,0.7945473179544191,0.7412525472397185,0.7439966191181919,0.7893128357103167,0.7999230038903298
